soap opera	Seinfeld	Guiding Light	General Hospital	All My Children	Days of our Lives
famous criminal	Marilyn Manson	Al Capone	John Gotti	Charles Manson	Ted Bundy
blog	Google	TMZ	Cheezburger	Gawker	Perez Hilton
dish soap brand	Tide	Dawn	Joy	Ajax	Palmolive
brady bunch character	Tom Brady	Mike Brady	Carol Brady	Jan Brady	Marcia Brady
airport	Smithsonian	O'Hare	Heathrow	Orly	Narita
board game	Lego	Clue	Scrabble	Risk	Monopoly
first lady	Amy Adams	Dolly Madison	Eleanor Roosevelt	Nancy Reagan	Martha Washington
sesame street character	Minerva	Elmo	Grover	Bert	Ernie
radio personality	Bill Clinton	Dr. Laura Schlessinger	Howard Stern	Rush Limbaugh	Glenn Beck
drummer	Kurt Cobain	Keith Moon	Dave Grohl	Neil Peart	Ringo Starr
sour candy	Milk	Warheads	Lemonheads	Gummy Worms	Cry Babies
cat food brand	Heinz	Purina	Fancy Feast	Whiskas	Meow Mix
boxer	Joe Montana	Muhammed Ali	Mike Tyson	George Foreman	Joe Louis
scary movie	Caddyshack	Saw	Dracula	Psycho	Carrie
country musician	Katy Perry	Willie Nelson	Reba McEntire	Dolly Parton	Kenny Rogers
romantic comedy	The Birds	Love Actually	Clueless	The Wedding Singer	Roman Holiday
middle eastern city	Sydney	Baghdad	Dubai	Jerusalem	Cairo
underwear brand	Burberry	Fruit of the Loom	Victoria's Secret	Jockey	Hanes
cartoonist	Emily Bronte	Charles Schulz	Walt Disney	Seth MacFarlane	Bill Watterson
documentary film	The Thin Red Line	March of the Penguins	Super Size Me	Bowling for Columbine	Hoop Dreams
shoe store	Williams Sonoma	DSW	Payless Shoe Source	Skechers	Foot Locker
game show host	George Orwell	Regis Philbin	Alex Trebek	Bob Barker	Richard Dawson
war	War and Peace	Korean War	Hundred Years War	World War II	Civil War
news anchors	Jennifer Lawrence	Tom Brokaw	Katie Couric	Walter Cronkite	Dan Rather
asian city	Paris	Shanghai	Hanoi	Tokyo	Beijing
desert	Himalayas	Gobi	Sahara	Mojave	Kalahari
famous puppet	Moby Dick	Howdy Doody	Kermit the Frog	Elmo	Pinocchio
constellation	Paramount	Gemini	Ursa Major	Sagittarius	Orion
reality tv show	Rugrats	Real World	Survivor	Top Chef	The Amazing Race
pirate	Oliver Twist	Blackbeard	Captain Kidd	Captain Morgan	Jack Sparrow
chick flick	The Godfather	When Harry Met Sally	27 Dresses	Pretty Woman	Never Been Kissed
pop star	Halle Berry	Beyonce	Christina Aguilera	Madonna	Britney Spears
county	Hanoi	King	Snohomish	Skagit	Pierce
us state	Guam	Michigan	Ohio	Florida	Oregon
software company	Mattel	Microsoft	Google	Amazon	Facebook
middle eastern country	Bolivia	Syria	Lebanon	Israel	Jordan
famous vehicle	Hamburger Helper	Air Force One	Batmobile	Titanic	Herbie
male singer	Walt Whitman	Elton John	Kurt Cobain	Justin Timberlake	Bob Dylan
canadian province	Oaxaca	Alberta	Ontario	Manitoba	Saskatchewan
gymnast	Mary Tyler Moore	Nadia Comaneci	Shawn Johnson	Mary Lou Retton	Olga Korbut
african country	Paraguay	Nigeria	Botswana	Rwanda	Egypt 
deodorant brand	Mr. Clean	Degree	Old Spice	Axe	Secret
mouthwash brand	Tylenol	Oral-B	Listerine	Plax	Scope
stephen king novel	Leaves of Grass	The Shining	It	Pet Sematary	Carrie
smartphone app	Verizon	Facebook	Uber	Yelp	Instagram
asian religion	Mormonism	Buddhism	Taoism	Hinduism	Shintoism
indian city	Kabul	Mumbai	Delhi	Jaipur	Bangalore
volcano	Mount Everest	Mount St. Helens	Vesuvius	Krakatoa	Mount Fuji
asian country	Iceland	Korea	Japan	China	Nepal
sports car	Vespa	Porsche	Jaguar	Lamborghini	Ferrari
hip-hop artist	Dave Matthews	Kanye West	Eminem	Snoop Dogg	Dr. Dre
famous bird	Lassie	Daffy Duck	Donald Duck	Woodstock	Tweety
harry potter character	Clark Kent	Harry Potter	Dumbledore 	Ron Weasley	Draco Malfoy
comic book	Gone With the Wind	Archie	Superman	X-Men	The Walking Dead
south american city	Madrid	Bogota	Santiago	Lima	Caracas
wonder of the world	Eiffel Tower	Pyramids	Colossus of Rhodes	Hanging Gardens of Babylon	Lighthouse of Alexandria
female tennis player	Annika Sorenstam	Serena Williams	Venus Williams	Chris Evert Lloyd	Martina Navratilova
charles dickens novel	Pride and Prejudice	Great Expectations	Little Dorritt	Oliver Twist	A Tale of Two Cities
russian city	Ottawa	Moscow	Saint Petersburg	Omsk	Volgograd
german city	Bloomberg	Berlin	Munich	Frankfurt	Hamburg
tv police show	My Little Pony	Law & Order	CSI	NYPD Blue	NCIS
australian city	Auckland	Melbourne	Sydney	Canberra	Perth
famous sculpture	Mona Lisa	Venus de Milo	Pieta	The Thinker	Statue of David
